school,num,title,quarter,year,desc
INFO,343,Client-Side Web Development,Autumn,2015,"Introduction to client-side web development including markup, programming, protocols, libraries, frameworks, and techniques for creating effective, usable, dynamic, and responsive applications that meet user needs. Includes an introduction to web development roles within organizations, content management systems, and other tools to build and manage websites and applications."
INFO,340,Introduction to Relational Database Management Systems,Autumn,2015,"Introduction to relational database management systems, focused on relational theory and the application of conceptual, logical, and physical database modeling. Key topics include the relational model, SQL, entity-relationship modeling, three-tier architectures, implementation of database applications, and related topics in information systems."
INFO,424,Information Visualization and Aesthetic,Spring,2015,"Build fluency in expressing information visually as diagrams, charts, maps, and icons Learn to solve design problems; give and receive critique; follow an iterative process of design refinement; and learn technical skills with design tools, such as Illustrator and Tableau. Understand the nature of visual potential, visual design principles, and the impact of color and typography."
INFO,341,Computer Networks and Distributed Applications,Spring,2015,"Basic concepts of local and wide-area computer networking including an overview of services provided by networks, network topologies and hardware, packet switching, client/server architectures, network protocols, and network servers and applications. Also addresses management, security, authentication, and policy issues associated with distributed systems."
INFO,380,Information Systems Analysis and Design,Winter,2015,"Prepares students to participate in structured systems analysis and design efforts. Students learn how to analyze system context, behavior, and structure; identify stakeholders; gather requirements; and redesign systems to make them more beneficial to the organization."
MATH,390,Statistical Methods in Engineering and Science,Winter,2015,"Concepts of probability and statistics. Conditional probability, independence, random variables, distribution functions. Descriptive statistics, transformations, sampling errors, confidence intervals, least squares and maximum likelihood. Exploratory data analysis and interactive computing."
INFO,481,Project Management,Autumn,2014,"Introduces project management principles within the context of Informatics. Provides knowledge that managers need to implement information systems on time and within budget. Concentrates on methods and issues in organizing, planning, and controlling projects, and the use of computer-based project management tools."
INFO,444,Value-Sensitive Design,Autumn,2014,"Introduction to value-sensitive design (VSD), information system design that accounts for human values in a principled and comprehensive manner. Examination of existing systems from a VSD perspective. Explores VSD research methods including conceptual, technical, empirical investigations. Key values include accountability, autonomy, consent, privacy, property, trust, sustainability."
MATH,324,Advanced Multivariable Calculus I,Winter,2014,"Topics include double and triple integrals, the chain rule, vector fields, line and surface integrals. Culminates in the theorems of Green and Stokes, along with the Divergence Theorem."
CSE,154,Web Programming,Spring,2014,"Covers languages, tools, and techniques for developing interactive and dynamic web pages. Topics include page styling, design, and layout; client and server side scripting; web security; and interacting with data sources such as databases."
CSE,373,Data Structures and Algorithms,Winter,2014,"Fundamental algorithms and data structures for implementation. Techniques for solving problems by programming. Linked lists, stacks, queues, directed graphs. Trees: representations, traversals. Searching (hashing, binary search trees, multiway trees). Garbage collection, memory management. Internal and external sorting."
MATH,309,Linear Analysis,Autumn,2013,"First order systems of linear differential equations, Fourier series and partial differential equations, and the phase plane."
INFO,200,Intellectual Foundations of Informatics,Spring,2013,"Information as an object of study, including theories, concepts, and principles of information, information seeking, cognitive processing, knowledge representation and restructuring, and their relationships to physical and intellectual access to information. Development of information systems for storage, organization, and retrieval. Experience in the application of theories, concepts, and principles."
CSE,143,Computer Programming II,Spring,2013,"Continuation of CSE 142. Concepts of data abstraction and encapsulation including stacks, queues, linked lists, binary trees, recursion, instruction to complexity and use of predefined collection classes.ÿ"
MATH,308,Matrix Algebra with Applications,Spring,2013,"Systems of linear equations, vector spaces, matrices, subspaces, orthogonality, least squares, eigenvalues, eigenvectors, applications. For students in engineering, mathematics, and the sciences."
CSE,142,Computer Programming I,Winter,2013,"Basic programming-in-the-small abilities and concepts including procedural programming (methods, parameters, return, values), basic control structures (sequence, if/else, for loop, while loop), file processing, arrays, and an introduction to defining objects. Intended for students without prior programming experience."
MATH,307,Introduction to Differential Equations,Winter,2013,Introductory course in ordinary differential equations. Includes first- and second-order equations and Laplace transform.
